identity_a,identity_b,similarity
M059,M357,0.2001
M059,M355,0.2001
M223,M332,0.2
M198,M102,0.2
M137,M355,0.2
M127,M402,0.2
M190,M386,0.2
M177,M357,0.2
M295,M321,0.2
M190,M198,0.2
M347,M412,0.2
M190,M374,0.2
M231,M254,0.2
M272,M304,0.2
M059,M222,0.1994
M128,M223,0.1992
M272,M365,0.1989
M103,M254,0.1989
M149,M252,0.1982
M185,M295,0.1981
M401,M168,0.1981
M185,M254,0.1981
M185,M351,0.1981
M190,M168,0.1981
M347,M401,0.1979
M168,M223,0.1976
M254,M178,0.1976
M183,M351,0.1976
M365,M412,0.1976
M295,M178,0.1976
M351,M402,0.1976
M270,M383,0.1972
M295,M223,0.1972
M103,M332,0.1968
M127,M386,0.1964
M177,M262,0.1964
M185,M237,0.1964
M355,M102,0.1964
M149,M108,0.1963
M235,M295,0.1962
M347,M365,0.196
M059,M365,0.196
M375,M183,0.1959
M375,M163,0.1959
M375,M190,0.1958
M183,M151,0.1953
M185,M357,0.1952
M347,M295,0.1951
M178,M304,0.195
M383,M262,0.195
M223,M345,0.195
M127,M137,0.195
M375,M168,0.1946
M059,M128,0.1945
M155,M222,0.1938
M350,M102,0.1938
M272,M386,0.1938
M252,M402,0.1937
M252,M329,0.1937
M270,M137,0.1937
M270,M177,0.1937
M103,M350,0.1929
M103,M386,0.1929
M222,M237,0.1929
M128,M272,0.1929
M272,M178,0.1929
M237,M137,0.1928
M155,M153,0.1926
M155,M151,0.1926
M108,M329,0.1926
M347,M151,0.1924
M347,M272,0.1924
M177,M332,0.1924
M149,M178,0.1923
M155,M374,0.1917
M383,M222,0.1917
M272,M350,0.1917
M128,M304,0.1917
M128,M374,0.1917
M155,M304,0.1917
M190,M222,0.1917
M416,M386,0.1917
M350,M178,0.1917
M375,M128,0.1915
M252,M254,0.1915
M222,M295,0.1913
M401,M231,0.1911
M168,M262,0.1911
M401,M143,0.1911
M347,M321,0.1911
M295,M345,0.1911
M143,M345,0.1911
M231,M102,0.1911
M321,M345,0.1911
M237,M304,0.1909
M059,M262,0.1906
M177,M178,0.1905
M347,M416,0.1905
M351,M355,0.1893
M365,M386,0.1893
M169,M185,0.189
M272,M357,0.189
M272,M402,0.189
M149,M401,0.1889
M169,M365,0.1889
M190,M237,0.1889
M128,M163,0.1889
M401,M355,0.1887
M252,M350,0.1884
M177,M374,0.1883
M239,M254,0.1879
M143,M262,0.1877
M163,M365,0.1868
M375,M108,0.1867
M237,M262,0.1863
M183,M102,0.1863
M272,M262,0.1862
M108,M190,0.1861
M128,M178,0.1861
M222,M304,0.1861
M183,M198,0.1861
M108,M178,0.1861
M155,M185,0.1861
M401,M198,0.186
M347,M178,0.1857
M235,M374,0.1857
M168,M374,0.185
M295,M304,0.185
M365,M178,0.185
M168,M357,0.185
M254,M386,0.185
M295,M386,0.185
M185,M190,0.1847
M383,M128,0.1847
M237,M412,0.1847
M383,M108,0.1847
M416,M351,0.1838
M254,M365,0.1833
M168,M351,0.1833
M416,M304,0.1833
M412,M151,0.1833
M178,M153,0.1833
M137,M304,0.1833
M374,M153,0.1833
M178,M151,0.1833
M416,M198,0.1833
M401,M153,0.1833
M329,M304,0.1833
M329,M386,0.1833
M143,M295,0.1833
M383,M355,0.1833
M168,M231,0.1833
M103,M223,0.1833
M383,M329,0.1833
M357,M304,0.1833
M402,M374,0.1833
M304,M153,0.1833
M402,M304,0.1833
M137,M386,0.1833
M137,M412,0.1833
M355,M223,0.1833
M198,M153,0.1833
M355,M386,0.1833
M355,M304,0.1833
M127,M332,0.1833
M329,M412,0.1833
M235,M155,0.1827
M347,M350,0.1827
M401,M351,0.1827
M237,M153,0.1824
M237,M351,0.1816
M169,M237,0.1815
M350,M332,0.1811
M177,M351,0.1811
M183,M345,0.1811
M321,M178,0.1811
M235,M222,0.1805
M416,M355,0.1803
M127,M262,0.18
M169,M178,0.18
M350,M198,0.1799
M149,M177,0.1795
M235,M386,0.1795
M127,M365,0.1793
M059,M149,0.1793
M375,M401,0.179
M350,M295,0.179
M235,M151,0.1789
M272,M231,0.1789
M155,M329,0.1788
M222,M355,0.1788
M375,M137,0.1787
M183,M365,0.1784
M235,M350,0.1777
M401,M190,0.1776
M128,M237,0.1771
M149,M272,0.1771
M190,M254,0.1769
M190,M178,0.1769
M272,M168,0.1769
M108,M416,0.1769
M059,M239,0.1766
M127,M143,0.1763
M235,M143,0.1763
M347,M254,0.1763
M262,M151,0.1757
M355,M262,0.1756
M416,M254,0.1755
M272,M374,0.175
M185,M412,0.175
M383,M345,0.175
M383,M155,0.175
M177,M329,0.175
M178,M345,0.175
M386,M102,0.175
M252,M151,0.175
M177,M402,0.175
M198,M178,0.175
M252,M401,0.175
M103,M178,0.175
M137,M402,0.175
M137,M357,0.175
M127,M252,0.1746
M108,M177,0.1741
M128,M177,0.1741
M270,M416,0.174
M383,M137,0.1738
M252,M412,0.1738
M416,M345,0.1735
M169,M235,0.173
M127,M383,0.173
M059,M332,0.1727
M252,M351,0.1727
M235,M128,0.1727
M127,M222,0.1725
M149,M183,0.1725
M149,M163,0.1725
M350,M321,0.1722
M383,M103,0.1722
M190,M262,0.1718
M416,M365,0.1718
M350,M223,0.1714
M237,M168,0.1713
M416,M143,0.1712
M375,M416,0.1702
M304,M332,0.17
M386,M332,0.17
M386,M345,0.17
M347,M223,0.17
M149,M153,0.17
M149,M151,0.17
M178,M332,0.17
M127,M153,0.17
M412,M345,0.17
M149,M137,0.17
M127,M151,0.17
M237,M345,0.1698
M375,M295,0.1691
M383,M412,0.1687
M401,M137,0.1687
M237,M402,0.1676
M128,M329,0.1676
M239,M137,0.1676
M239,M153,0.1676
M270,M108,0.1676
M128,M402,0.1676
M059,M401,0.1674
M355,M345,0.1673
